stabf,g4,g3,g2,g1,p4,p3,p2,p1,tau4,tau3,tau2,tau1
0,0.895143061,0.46833497,0.625363824,0.711099508,-0.965838727,-1.407626953,-0.962391781,3.335857461,8.838425948,4.775904158,4.374293639,7.021362
0,0.879427908,0.889893893,0.307903842,0.305662027,-1.508820294,-1.877061288,-1.681414195,5.067295776,5.69455722,8.883318656,8.088672352,4.952240905
1,0.793981812,0.917833436,0.840807129,0.800756746,-0.698555961,-1.766941259,-1.469298698,3.934795918,9.456443189,1.29045594,2.439089208,4.142830401
0,0.515983285,0.161517854,0.713253578,0.836076238,-1.727343598,-1.747077639,-1.10675268,4.581173917,3.269181328,2.335276308,7.920029848,9.346125944
0,0.697465329,0.210692284,0.611780635,0.837263669,-1.788638218,-1.880273178,-1.695084907,5.363996303,6.292147426,6.064480326,9.180889708,3.931953592
0,0.454155494,0.245571185,0.983650729,0.595003445,-0.502225784,-0.929289558,-1.396731988,2.82824733,7.35621229,4.9254019,5.583325289,8.676894557
1,0.076750679,0.139627347,0.561165719,0.42551366,-1.121934813,-1.424951078,-1.429218786,3.976104678,0.744899381,0.924516572,5.253173483,7.383176629
1,0.457982132,0.165887907,0.121397366,0.409785101,-0.974689729,-1.761731222,-1.626413737,4.362834688,7.562035559,8.513192907,1.969861575,4.541829141
1,0.503974238,0.548860907,0.128154394,0.350474936,-1.759643252,-1.07902572,-0.989549143,3.828218114,1.076939582,5.996044984,6.043118489,5.973186478
0,0.100471728,0.824221605,0.927722331,0.936087467,-0.739853214,-1.449532302,-1.377854757,3.567240274,7.89061038,1.621090811,7.733516623,7.253346068
1,0.253585837,0.328541483,0.408494818,0.168277026,-0.673592707,-1.432845641,-1.355953742,3.46239209,5.163923545,1.662379743,2.533877298,6.192481434
0,0.711898598,0.343262439,0.141838851,0.867790602,-1.631603697,-1.374426714,-1.063139214,4.069169625,8.777868373,1.311731853,1.096301959,5.895693452
1,0.647616793,0.221905027,0.061328848,0.471442103,-1.037578197,-0.687734539,-1.187866131,2.913178867,0.786910858,6.269093949,6.425554186,0.727076791
1,0.838403504,0.17172401,0.160127434,0.127657733,-1.664653287,-0.819163767,-1.188470589,3.672287643,5.169648227,6.676928903,7.020355775,1.807818723
1,0.221631367,0.287025561,0.77867048,0.253608876,-0.587932485,-1.653954453,-1.163252538,3.405139476,9.412524919,5.478341988,1.071635,9.034146636
0,0.643629575,0.785096491,0.397860503,0.702599246,-0.529198199,-0.882204831,-1.540369221,2.951772252,1.795845844,3.5768969,2.159581518,4.477896152
1,0.655999006,0.33090873,0.392226079,0.408973718,-1.23998526,-1.398690033,-1.495949161,4.134624453,7.735356367,3.324771301,0.944068374,3.432548621
0,0.292634388,0.791912255,0.987507305,0.063362194,-1.799543982,-1.158403042,-1.154157576,4.112104599,4.249789291,2.755187946,8.453342557,4.780713301
0,0.637185672,0.667851722,0.787557446,0.955617589,-1.694891887,-1.491645109,-0.962996982,4.149533978,4.855136594,6.825482566,4.406541583,9.936050353
1,0.061665344,0.662142574,0.082105608,0.275612628,-1.204557407,-1.57917098,-0.590451861,3.374180247,2.371237886,8.291244215,7.880690312,3.699095576
0,0.082659637,0.788264275,0.657751776,0.953620612,-1.201207946,-0.510617968,-0.676758056,2.388583971,1.705491987,1.689083755,7.181022832,9.853461811
0,0.3144341,0.578285994,0.058523018,0.417993054,-0.596784041,-0.547151334,-1.652464842,2.796400217,6.51775707,8.866207982,3.815719857,7.212967524
0,0.638421101,0.315034492,0.778998572,0.354385405,-1.13441309,-1.069914336,-1.682252187,3.886579612,7.437237097,0.791174717,5.012118948,9.659919983
1,0.888316118,0.263953033,0.598836013,0.31641404,-0.863526646,-0.847904197,-0.910373043,2.621803887,1.891812608,4.933785454,2.98440347,2.482202784
1,0.26878967,0.321637816,0.65433309,0.799481515,-0.583463354,-1.414036107,-1.851493793,3.848993254,7.194696479,2.552810631,9.797092967,1.492188726
0,0.65409521,0.980108942,0.14385051,0.812149887,-1.726238846,-0.600065552,-1.654655626,3.980960025,7.620401031,1.599345449,8.835256172,8.234219118
0,0.90322192,0.687915929,0.148033725,0.223498149,-0.601332629,-0.814255047,-1.58959435,3.005182026,9.242128754,8.811621945,6.145345121,4.8619033
0,0.755847944,0.537567511,0.452660468,0.777571676,-1.307006164,-0.58377446,-1.652274215,3.543054839,8.462014575,0.896589231,8.73796761,4.044070808
0,0.617826173,0.36406631,0.705585718,0.783161161,-0.659759611,-1.015365767,-1.147754681,2.82288006,1.54877294,1.655173582,6.002096323,4.130593421
0,0.238282382,0.862932945,0.832337007,0.781653418,-1.232761339,-1.965185188,-0.76348268,3.961429207,4.766986011,8.289289749,2.685847646,3.866527309
1,0.172636292,0.072008094,0.089422125,0.62520696,-0.6238798,-1.553880971,-0.550407644,2.728168415,5.172468065,3.761599233,5.407559002,9.234696811
0,0.13318199,0.218638742,0.367548833,0.782084076,-1.355732444,-1.34931857,-0.66404453,3.369095544,5.568566962,1.972528488,5.748692331,8.394045035
0,0.504879871,0.760878962,0.626340695,0.799212076,-1.508989266,-1.216904657,-1.551418663,4.277312585,3.801549929,7.129656698,4.959515356,4.352223081
0,0.722353093,0.528381543,0.17985514,0.548837057,-0.519922039,-1.826011403,-1.315370009,3.661303451,6.778355126,7.646441742,1.300316787,7.660795794
0,0.38429464,0.291643316,0.599962528,0.931287341,-0.8091023,-1.478676909,-1.107857025,3.395636234,5.260072263,8.588987403,0.511597143,9.818128094
1,0.658453831,0.31279703,0.225295477,0.129387731,-0.756275461,-1.823557571,-1.748322979,4.32815601,4.527227496,6.651426529,1.142094066,0.504014262
0,0.727172229,0.970892779,0.58477645,0.543917338,-1.71984908,-0.752603758,-1.416243792,3.888696631,7.917409039,6.716960737,8.552775225,6.587743076
0,0.706239051,0.704158377,0.179388965,0.89094925,-1.740989554,-0.693916184,-0.989738355,3.424644092,8.791040784,3.344554861,1.052254769,9.285754037
0,0.481229081,0.808117505,0.682393358,0.690585361,-1.633105643,-1.079719781,-1.562088634,4.274914058,1.084828155,9.904062121,6.970377383,5.150207572
0,0.242668907,0.379493542,0.832285771,0.757866707,-1.873851347,-0.688376811,-0.846231223,3.408459381,7.757988507,3.927165302,3.127123121,6.745214353
0,0.979085788,0.580840892,0.396811507,0.529685305,-1.329810866,-0.984437482,-1.894616331,4.208864679,9.001135929,2.207280555,8.434740669,4.72979766
0,0.903835773,0.3873676,0.972374603,0.427141833,-1.261275227,-0.964770469,-1.546062539,3.772108235,3.083516067,2.342623116,5.968581821,9.970413271
1,0.278032881,0.762099199,0.817872452,0.315825601,-1.612344855,-0.735708919,-1.580768533,3.928822308,3.289805772,8.634376146,1.492788708,2.918049539
0,0.953996746,0.318092071,0.161374435,0.955231716,-1.148045498,-1.849743003,-0.542270284,3.540058784,6.90792561,2.623229839,5.3163068,4.985250046
0,0.519006782,0.835334817,0.51148396,0.171155694,-1.091212688,-0.693679638,-1.05923268,2.844125007,9.377522217,7.382552796,5.711406718,7.476371256
1,0.199837425,0.304396708,0.612155474,0.44292787,-1.832137378,-1.54570457,-0.58725895,3.965100898,7.35445825,1.219137446,9.545988778,3.989850425
0,0.515684665,0.386146325,0.95757904,0.975159284,-1.837969637,-0.950833403,-1.063267158,3.852070198,9.259616927,5.613843631,4.311326512,4.557617008
1,0.386783996,0.148454105,0.198149575,0.629163289,-1.476157266,-1.311657627,-1.694260179,4.482075072,5.041854829,1.442637515,1.451485635,4.614537049
0,0.734624621,0.478029595,0.89640434,0.378846095,-1.37584631,-1.114846489,-1.876138273,4.366831072,3.312984994,7.636587197,7.438791224,5.341405958
0,0.479167883,0.109068833,0.658796398,0.944564445,-0.793748142,-1.299563363,-1.779563873,3.872875379,5.983644443,8.77307848,7.903235494,9.645392096
0,0.67417665,0.994393401,0.912171112,0.189802071,-1.305198481,-1.509832107,-1.963363251,4.77839384,8.81389322,4.659979485,5.029480796,9.85505319
1,0.696036276,0.293682648,0.575000126,0.568603793,-1.091370649,-1.287828966,-1.274820071,3.654019686,1.741641087,5.593130637,2.46205133,6.126845734
0,0.780903286,0.745796032,0.633888461,0.803609951,-1.061529578,-1.175245983,-1.505998618,3.742774179,7.390135137,3.421839951,1.070051665,6.512506177
0,0.376601651,0.4578569,0.187899834,0.380299485,-1.007932743,-0.573671433,-1.40493122,2.986535396,5.551937878,5.567313431,6.964742616,4.779005065
1,0.138765299,0.14588501,0.099126544,0.1200521,-1.246794946,-1.427424952,-1.289405548,3.963625446,9.439797562,7.973577512,3.264561073,5.95226606
0,0.435357553,0.919892495,0.738087102,0.566963433,-1.710837991,-0.965343589,-0.819445524,3.495627103,3.077368165,3.611717588,0.970733455,4.020519825
0,0.799246779,0.722704467,0.213010073,0.196656892,-1.344632329,-1.67777466,-1.830716098,4.853123087,8.729574681,4.127925479,2.770427071,8.892234088
0,0.352389394,0.068746675,0.925649928,0.459142625,-1.728092725,-0.674148104,-1.198455971,3.600696799,7.27339485,0.952549605,6.541855551,8.137339957
1,0.829695887,0.059332447,0.348798336,0.630438787,-1.275527514,-1.347786876,-1.058892139,3.682206529,3.304947812,7.447199022,2.296231462,9.395141728
0,0.737205264,0.081326277,0.90332362,0.74596678,-0.551507495,-1.383955022,-1.525004603,3.46046712,9.265647002,0.637752898,3.84992606,2.936038747
0,0.102243005,0.313012594,0.548752397,0.97609943,-1.233820522,-0.808431924,-1.796787939,3.839040385,2.229665831,0.813569397,8.828911084,6.871649548
0,0.738963692,0.213716216,0.584213164,0.104626291,-1.976107181,-0.738003567,-1.748760404,4.462871153,9.28468003,1.227163666,8.750652796,9.205911169
1,0.523630291,0.917105771,0.096992366,0.367215291,-1.42834779,-1.181312695,-1.134307721,3.743968206,1.681788842,9.971022903,2.944153934,4.619269514
0,0.822864103,0.586955937,0.337439986,0.880337103,-1.719050403,-1.482444627,-1.841885627,5.043380657,1.108354749,4.796720769,5.501054366,9.031281583
1,0.961135881,0.71559875,0.9716545,0.879388013,-1.259749512,-1.57640922,-0.863773027,3.699931758,1.828133901,7.172145907,1.541926092,2.379298707
0,0.825760026,0.220856858,0.630221774,0.841682029,-1.545278751,-1.276113883,-1.175475107,3.996867741,7.90243974,4.777248279,9.972660786,2.855676806
0,0.823738781,0.951989509,0.227855514,0.902333803,-1.995913692,-1.46110466,-1.270810238,4.727828591,8.228105444,4.599963432,8.861563083,9.280678212
0,0.988647555,0.945602308,0.660594781,0.866631301,-1.271490962,-1.424116336,-0.586541744,3.282149042,0.889502499,5.122997166,8.389754853,9.652791274
1,0.488866907,0.684872434,0.061630896,0.890360085,-1.585113483,-1.847324804,-0.671335206,4.103773493,7.303489262,9.898067915,8.975725009,1.55702846
0,0.809877269,0.450951085,0.351242119,0.280766779,-1.835320528,-1.502444343,-0.749788069,4.08755294,6.089545862,5.056582237,3.372019241,9.800318163
0,0.758616638,0.834101696,0.811116288,0.417331501,-1.35338002,-1.839180422,-1.082789905,4.275350347,6.706607218,9.286938876,7.957680261,1.047687264
1,0.226059634,0.368767708,0.153218781,0.560679696,-0.809470904,-0.952139297,-0.665380859,2.42699106,4.934137059,2.334364795,4.63027673,8.380489199
0,0.146970734,0.975813838,0.910002208,0.763529285,-1.255274364,-0.754596536,-1.018340746,3.028211645,2.915510937,6.803520982,8.525590639,7.344367894
1,0.260963602,0.486136619,0.078571129,0.225010143,-0.866243147,-0.8957396,-1.372758371,3.134741118,9.239545298,9.381112683,6.11651311,3.333380158
1,0.053899486,0.896527478,0.420768502,0.514883703,-1.09290357,-1.450286241,-1.403025452,3.946215264,4.392527369,3.462210941,3.081053375,9.99304592
0,0.866729413,0.190990781,0.88947486,0.241245699,-1.357194543,-0.646468279,-0.696132497,2.699795318,4.604743442,8.535651895,2.019077965,5.477516939
1,0.177922477,0.222007389,0.296415151,0.304360775,-0.597328262,-1.988162605,-1.973317065,4.558807931,5.006208297,3.456795828,1.491366701,0.630115537
0,0.626653451,0.893917397,0.455873378,0.863989832,-0.577208396,-0.703313206,-1.984928305,3.265449907,5.599287997,2.789399639,6.869981127,7.158135735
1,0.363984723,0.608407919,0.623179663,0.75223112,-1.955740693,-1.037811948,-1.235136069,4.22868871,5.536388458,9.072752428,2.800534029,0.867087833
0,0.653022873,0.945275045,0.716153198,0.724927436,-1.006327796,-1.46523322,-1.197959476,3.669520492,7.496281509,6.801959269,3.62083848,9.579291854
0,0.600090676,0.858868724,0.671989467,0.631937419,-0.706147583,-1.954293133,-1.86810316,4.528543876,1.643226618,7.236908718,4.62590537,9.455978014
1,0.805962937,0.562513653,0.707802516,0.226247461,-0.703293434,-1.883203636,-1.896578318,4.483075388,1.83995833,2.611485817,3.481926667,6.849010017
1,0.158625944,0.380577328,0.281120872,0.934311197,-1.124185651,-1.44871669,-1.405042457,3.977944798,8.228702024,3.777283456,2.095973948,1.228150386
0,0.364861545,0.534617031,0.313329808,0.353255606,-0.849799775,-1.730213312,-1.061980915,3.641994001,6.17408109,5.161088937,8.077515485,4.913954876
0,0.732105764,0.222438655,0.699070534,0.372586913,-0.766815128,-1.01314842,-1.339915819,3.119879366,2.274787285,1.217696154,6.257176777,4.913561561
1,0.633641913,0.350993737,0.129092064,0.442322847,-1.017775475,-1.87584096,-1.638415216,4.532031651,0.766406707,0.563290827,4.825975088,4.499569534
0,0.735466691,0.1403025,0.722592222,0.7126957,-1.846532403,-1.128916917,-1.752241356,4.727690675,9.525871753,4.476630726,5.440081843,2.570633148
0,0.686398782,0.950419335,0.218556179,0.339827903,-0.718933221,-1.068013973,-1.068022647,2.854969842,5.460567453,7.78537776,2.365997307,6.786577441
1,0.270880486,0.54671691,0.192119294,0.989818509,-1.748398345,-0.873916301,-1.286521989,3.908836636,2.6737647,6.603276778,3.864908235,1.835644889
0,0.1208408,0.897430454,0.984519247,0.629539312,-0.939004404,-1.029596022,-1.116576447,3.085176873,5.007636364,8.167615688,4.107110586,1.957853404
1,0.415227141,0.456118441,0.968673112,0.53015839,-0.781501242,-1.189834178,-1.361578628,3.332914048,6.076200795,3.112804262,0.50537151,9.416805881
1,0.849518873,0.770045182,0.123009341,0.742527863,-0.786486857,-1.595237611,-0.549811556,2.931536023,9.896954267,1.281309017,1.701397072,1.53067601
0,0.850290271,0.280255092,0.646816015,0.701205085,-1.382237242,-1.620463475,-1.558625222,4.561325939,3.538377192,3.803450485,7.989374593,2.957239001
0,0.958764554,0.197503729,0.136693814,0.496961751,-1.358143377,-0.637056715,-1.595701684,3.590901776,4.496474863,3.978646963,4.329276266,3.378629359
0,0.953867816,0.647609008,0.468871749,0.798566643,-1.024060157,-1.779878726,-1.239440973,4.043379857,1.096413619,8.832001078,5.013924649,7.983696598
0,0.646784067,0.412771335,0.62510585,0.693814084,-1.459631324,-1.403772924,-1.260995972,4.12440022,2.93577003,3.824747479,5.930143753,5.276402023
1,0.08258261,0.074411116,0.463236292,0.442707998,-0.563764124,-1.528319452,-1.065409727,3.157493303,6.666353345,5.866702133,2.641069045,4.893077006
0,0.345546594,0.87644447,0.697320961,0.394209223,-1.209037542,-1.999034075,-1.036004678,4.244076295,7.946347018,9.244689527,6.258080623,6.843639567
0,0.858661273,0.702845255,0.500461854,0.469396189,-1.058085682,-0.975570542,-0.831756375,2.865412599,2.586314976,7.927779363,3.995664822,6.809078446
0,0.643877373,0.518902292,0.41346323,0.23043831,-1.521100272,-1.149786665,-0.529385802,3.200272738,2.332092827,7.179484537,6.159775319,8.147877636
0,0.932077895,0.795972539,0.381958011,0.660101634,-1.582060685,-1.927956293,-0.671049709,4.181066687,4.628486716,8.441083802,7.91450545,6.564037361
1,0.872048154,0.345429225,0.691036828,0.501965648,-1.639466606,-1.846678558,-1.295072852,4.781218016,2.426325928,1.670301944,9.764269572,6.061601378
1,0.506888349,0.399609941,0.342665553,0.515184988,-1.593530534,-1.914740019,-0.660972676,4.169243229,3.458339561,3.941884921,7.635219962,2.383103873
1,0.651629028,0.630882564,0.502539527,0.934755876,-1.689369222,-1.24322449,-1.811129397,4.743723109,9.997448266,0.844646044,1.875041201,1.999844602
0,0.939050106,0.336296343,0.292930725,0.331046125,-0.976950581,-1.684419357,-1.115952137,3.777322074,5.778321361,1.205191404,2.39266355,4.045643964
0,0.877279126,0.710819904,0.298822755,0.674893038,-1.109593119,-0.52984506,-0.761918316,2.401356495,8.348261743,8.224499304,7.352655249,8.940428544
0,0.097994387,0.389241126,0.777535546,0.457301191,-0.604519687,-0.66121879,-1.330764007,2.596502484,3.591325106,5.851618641,5.551038293,3.888546859
1,0.28559325,0.127745145,0.303905066,0.881635001,-1.622816019,-0.953001501,-0.965987454,3.541804975,2.976587023,2.116830433,4.433751205,3.853942618
0,0.887182388,0.948552306,0.366317321,0.31135987,-1.297329259,-1.876431547,-0.501580528,3.675341335,7.016825192,7.359659874,3.88103038,7.961484472
0,0.13577932,0.050053692,0.839878946,0.782897036,-1.933546931,-0.870845366,-1.067667989,3.872060286,5.428185196,5.591566488,6.60299152,8.758841184
1,0.67874942,0.643608315,0.531583728,0.257257969,-1.673377485,-1.92719788,-1.021096913,4.621672278,3.269296812,1.763827414,8.849806775,1.031835801
0,0.665816545,0.683333518,0.753391749,0.316938852,-1.397381076,-1.525234545,-0.83948668,3.762102301,3.664918203,4.645325486,8.998693294,2.966818007
1,0.732649634,0.357541659,0.208684627,0.730522276,-1.174672481,-1.671342637,-1.086176729,3.932191847,4.059511287,9.731351253,1.202983972,4.006570657
0,0.394152439,0.994568353,0.690547262,0.499327436,-1.830323368,-1.483193945,-1.44421847,4.757735783,6.18311621,4.844399539,3.84907046,8.945907463
1,0.364203731,0.134388478,0.484453854,0.087846767,-1.201253574,-1.660191646,-1.403228222,4.264673442,7.625134792,1.014068259,6.447323719,8.587775213
0,0.590666081,0.487917527,0.755781274,0.693476943,-1.90540337,-1.244998037,-1.877296097,5.027697504,7.233803643,5.27458925,5.864778659,5.652686332
1,0.320976041,0.610533697,0.460025182,0.947078825,-1.69399627,-1.232881928,-1.303858942,4.230737139,7.110282146,4.130991681,7.434952321,0.743880756
0,0.187825159,0.964004906,0.240887866,0.492502489,-1.97450137,-0.904723801,-0.552155309,3.43138048,9.628538838,7.594707411,3.762037718,3.140031845
0,0.975824212,0.713273176,0.721082018,0.271208598,-1.896868542,-1.792819144,-1.866527907,5.556215593,1.151843197,6.265189901,5.806375606,5.690648446
0,0.695366989,0.357468778,0.738413905,0.069501487,-1.363686866,-1.870435309,-1.450331759,4.684453933,5.18145656,6.474133972,2.7472104,3.377705572
1,0.663446557,0.584270411,0.284773037,0.125027264,-0.874193272,-1.881916453,-0.874903705,3.63101343,1.241567755,3.223602742,2.257382388,0.860551367
0,0.419302729,0.569699274,0.483974507,0.429168943,-0.57429346,-1.521425511,-1.307074882,3.402793853,5.039222512,4.360969862,4.901683932,1.956565878
1,0.671236652,0.116784091,0.827547033,0.41293721,-0.886497282,-0.909297187,-1.284146506,3.079940975,7.387859627,1.728813545,1.159826232,1.799947069
1,0.893719383,0.177919439,0.235628308,0.325168555,-1.448788101,-0.646337124,-1.611043669,3.706168893,1.89459242,9.68244235,4.007252338,2.974060262
1,0.387281076,0.31148649,0.36732602,0.998709417,-1.689896883,-0.948720371,-1.770642292,4.409259546,1.843787189,7.376636316,6.839273114,1.305660998
1,0.165047474,0.117267914,0.33207442,0.360947439,-1.571020483,-1.495099178,-0.92208028,3.988199941,4.206360468,4.939984102,2.990608887,4.469752087
1,0.43458802,0.869853112,0.088412705,0.77243097,-1.331446892,-1.655759112,-1.493593497,4.480799501,1.920542009,1.000393118,7.032039111,7.5219777
0,0.399485961,0.72803776,0.135888343,0.826378588,-0.883004188,-1.116495819,-1.216371542,3.215871549,2.786022536,9.764870847,2.876215606,9.420682446
0,0.2317505,0.705997831,0.308921438,0.753562777,-1.715350206,-1.893388441,-0.661557211,4.270295859,9.009674102,9.389112641,7.855123697,3.548449727
1,0.633045939,0.150433386,0.085914453,0.495319955,-1.412033075,-1.456182929,-0.584133323,3.452349327,2.516553591,2.350234582,2.021999743,7.298726011
0,0.884571344,0.629173651,0.765076821,0.053025079,-1.207025654,-0.757223374,-1.912721644,3.876970672,6.431873929,8.980364504,8.287711039,6.219172495
1,0.126883962,0.907384148,0.808285139,0.056941731,-1.970172956,-1.528424335,-1.984225973,5.482823263,1.148914841,9.880278389,0.740372816,3.171356904
0,0.652074458,0.44129995,0.593211887,0.685535116,-1.771297798,-1.244278832,-0.969581636,3.985158266,8.208031085,6.352817869,4.062581127,4.307016689
0,0.435268559,0.174713833,0.986610403,0.41385174,-1.043531528,-0.643455597,-1.774054305,3.46104143,9.017871502,0.535665723,9.255317473,3.252104822
0,0.823970642,0.949053208,0.433463619,0.653466635,-0.873231315,-1.250366544,-0.602059157,2.725657016,2.617267479,3.302709118,5.42233392,7.256380225
0,0.981240169,0.420873073,0.193225428,0.624550353,-0.995465537,-1.073752387,-1.046494027,3.115711952,3.062878874,4.92626828,8.510075012,7.925182026
0,0.926134228,0.197200168,0.822050162,0.054522712,-0.807621412,-0.677817596,-1.226354245,2.711793252,6.499707849,7.217312453,3.725318033,2.398539095
1,0.621431501,0.159084166,0.074975303,0.902510401,-0.974832116,-1.810607094,-0.810214571,3.595653781,1.089986834,1.477618494,2.92899185,2.480468357
0,0.547135608,0.26872094,0.440065897,0.414145013,-1.523155033,-1.722117544,-1.627986634,4.873259211,5.46101498,6.195200887,4.290364341,5.362318759
0,0.081396615,0.733239447,0.363906592,0.130656324,-0.987601531,-1.795510316,-1.979958221,4.763070068,6.670567276,6.296555981,7.640276677,7.511611282
1,0.355856622,0.381871696,0.053409103,0.854848602,-1.636597875,-0.527782855,-1.844656582,4.009037312,2.459045194,6.242320919,5.626724183,1.049968001
0,0.952828151,0.332654808,0.987988458,0.46623664,-0.699370873,-0.901268423,-1.631969189,3.232608485,7.896763866,7.110524855,1.046051526,5.297821866
1,0.239756983,0.646760566,0.13415237,0.726716058,-1.164672429,-0.943584475,-1.43925914,3.547516044,4.575508697,0.851472433,0.589952937,0.518871834
0,0.662535002,0.941641922,0.994185981,0.81405407,-1.206200893,-1.837116567,-1.669635738,4.712953198,7.556454857,2.97579115,3.685214829,9.646436925
0,0.815536372,0.999171157,0.453781699,0.813206318,-1.564156345,-1.064785503,-0.950823534,3.579765381,1.636852462,5.526253795,4.603009084,3.427886258
1,0.222737526,0.916848563,0.59593679,0.338433317,-1.608801616,-0.530728161,-1.935717391,4.075247167,1.865046447,1.852390398,5.112293005,1.687808789
1,0.762264099,0.735396893,0.442254316,0.484776787,-1.88908748,-1.595997169,-1.147523346,4.632607995,1.772988708,4.322744917,1.207449666,6.800164449
1,0.225069824,0.234289805,0.770193924,0.785595354,-1.699637769,-0.820951351,-1.10400272,3.62459184,6.169944154,8.071234453,3.028512191,2.290102017
0,0.075745865,0.269984764,0.800531374,0.930636159,-1.870518304,-0.637830502,-1.600279104,4.108627911,7.822744449,6.997473911,8.056536608,2.111882708
1,0.37529365,0.527870045,0.158075057,0.581015737,-1.370829597,-1.817355248,-1.359252043,4.547436889,2.666259455,3.685802712,0.869333506,8.307323382
1,0.094082444,0.299650342,0.615761362,0.480195119,-0.816318124,-1.874120752,-1.630283001,4.320721877,0.830777792,5.803689488,8.42275929,2.727520243
0,0.344681383,0.736383816,0.850418427,0.17395476,-1.232691912,-1.297297691,-0.717692515,3.247682118,4.319457731,5.82489497,6.818380893,1.46551997
0,0.605769903,0.638771527,0.966825507,0.4878923,-1.227586765,-0.964965158,-1.043342321,3.235894243,2.605216185,0.687845139,7.716766904,5.050888064
0,0.921109561,0.460971835,0.26482236,0.755396847,-1.430262103,-1.320913855,-0.770592758,3.521768716,7.512965631,7.383137785,6.260325524,5.461860497
0,0.478615718,0.850555869,0.65990279,0.532133134,-1.199304489,-1.156585263,-1.07873681,3.434626561,0.708401456,8.687389881,2.909935083,9.711034681
0,0.431783966,0.207028909,0.553927528,0.616177129,-0.538255671,-1.950226947,-1.604991715,4.093474333,4.189128034,3.793404397,4.731436196,5.782924609
0,0.214378252,0.788125735,0.390966734,0.391927913,-0.668946365,-0.526455983,-1.647842037,2.843244386,1.229863767,4.03817682,6.507133374,5.218000522
0,0.237628889,0.206851141,0.421851042,0.843849922,-1.755848895,-1.253048307,-0.519298636,3.528195837,4.894774089,5.428435597,3.504541499,6.083154736
0,0.431154933,0.83376596,0.838269235,0.611634187,-1.122740331,-0.699088466,-1.768924476,3.590753274,5.455107072,5.0398629,0.660418273,7.745784521
0,0.811321383,0.881743805,0.921425372,0.940610642,-1.133778987,-1.046414205,-0.530065379,2.710258571,2.01946918,6.192338266,6.108071402,5.332626219
0,0.788274685,0.900852257,0.388941629,0.681492937,-1.165596132,-1.886733725,-1.367373166,4.419703023,5.567845902,5.124338323,8.771391868,3.000559277
0,0.816354075,0.757247744,0.840259962,0.230214114,-1.173854328,-1.189281888,-1.082715018,3.445851233,8.901855582,9.246045246,0.638995245,3.367108511
1,0.920764329,0.188007103,0.520431964,0.482746655,-0.586821023,-0.813852839,-0.648957192,2.049631054,2.980793339,8.893052363,7.358698893,0.739781836
1,0.608890851,0.580973614,0.260270601,0.192439881,-1.84075456,-1.709812319,-1.739254973,5.289821852,4.229762527,2.48412425,8.120901449,5.05420266
0,0.698918547,0.438292052,0.879396571,0.058730786,-1.306783405,-1.119930387,-1.765760615,4.192474407,3.632737293,0.540103984,7.009019544,5.224551085
